REF_DATE,GEO,Labour force characteristics,Sex,Age group,VALUE
2015-04,Quebec,Full-time employment,Both sexes,25 years and over,3045.6
2015-04,Quebec,Full-time employment,Both sexes,25 to 54 years,2416.9
2015-04,Quebec,Full-time employment,Both sexes,55 years and over,628.7
2015-04,Quebec,Full-time employment,Males,15 years and over,1871.9
2015-04,Quebec,Full-time employment,Males,15 to 64 years,1819.1
2015-04,Quebec,Full-time employment,Males,15 to 24 years,155.8
2015-04,Quebec,Full-time employment,Males,25 years and over,1716.1
2015-04,Quebec,Full-time employment,Males,25 to 54 years,1323.4
2015-04,Quebec,Full-time employment,Females,15 years and over,1447.6
2015-04,Quebec,Full-time employment,Females,15 to 64 years,1428.5
2015-04,Quebec,Full-time employment,Females,15 to 24 years,118.1
2015-04,Quebec,Full-time employment,Females,25 years and over,1329.4
2015-04,Quebec,Full-time employment,Females,25 to 54 years,1093.4
2015-04,Quebec,Unemployment rate,Both sexes,15 years and over,7.4
2015-04,Quebec,Unemployment rate,Both sexes,15 to 64 years,7.5
2015-04,Quebec,Unemployment rate,Both sexes,15 to 24 years,13.7
2015-04,Quebec,Unemployment rate,Both sexes,25 years and over,6.3
2015-04,Quebec,Unemployment rate,Both sexes,25 to 54 years,6.2
2015-04,Quebec,Unemployment rate,Both sexes,55 years and over,6.6
2015-04,Quebec,Unemployment rate,Males,15 years and over,8.3
2015-04,Quebec,Unemployment rate,Males,15 to 64 years,8.5
2015-04,Quebec,Unemployment rate,Males,15 to 24 years,16.3
2015-04,Quebec,Unemployment rate,Males,25 years and over,7
2015-04,Quebec,Unemployment rate,Males,25 to 54 years,7.2
2015-04,Quebec,Unemployment rate,Males,55 years and over,6.5
2015-04,Quebec,Unemployment rate,Females,15 years and over,6.4
2015-04,Quebec,Unemployment rate,Females,15 to 64 years,6.4
2015-04,Quebec,Unemployment rate,Females,15 to 24 years,11
2015-04,Quebec,Unemployment rate,Females,25 years and over,5.5
2015-04,Quebec,Unemployment rate,Females,25 to 54 years,5.2
2015-04,Quebec,Unemployment rate,Females,55 years and over,6.7
2015-04,Quebec,Participation rate,Both sexes,15 years and over,65
2015-04,Quebec,Participation rate,Both sexes,15 to 64 years,79
2015-04,Quebec,Participation rate,Both sexes,15 to 24 years,68.8
2015-04,Quebec,Participation rate,Both sexes,25 years and over,64.4
2015-04,Quebec,Participation rate,Both sexes,25 to 54 years,87.6
2015-04,Quebec,Participation rate,Both sexes,55 years and over,33.9
2015-04,Quebec,Participation rate,Males,15 years and over,69
2015-04,Quebec,Participation rate,Males,15 to 64 years,81.7
2015-04,Quebec,Participation rate,Males,15 to 24 years,67.9
2015-04,Quebec,Participation rate,Males,25 years and over,69.2
2015-04,Quebec,Participation rate,Males,25 to 54 years,89.8
2015-04,Quebec,Participation rate,Males,55 years and over,40.6
2015-04,Quebec,Participation rate,Females,15 years and over,61.1
2015-04,Quebec,Participation rate,Females,15 to 64 years,76.3
2015-04,Quebec,Participation rate,Females,15 to 24 years,69.6
2015-04,Quebec,Participation rate,Females,25 years and over,59.7
2015-04,Quebec,Participation rate,Females,25 to 54 years,85.5
2015-04,Quebec,Participation rate,Females,55 years and over,27.8
2015-04,Ontario,Full-time employment,Both sexes,15 years and over,5587.7
2015-04,Ontario,Full-time employment,Both sexes,15 to 64 years,5413.9
2015-04,Ontario,Full-time employment,Both sexes,15 to 24 years,463.8
2015-04,Ontario,Full-time employment,Both sexes,25 years and over,5123.8
2015-04,Ontario,Full-time employment,Both sexes,25 to 54 years,4033.6
2015-04,Ontario,Full-time employment,Both sexes,55 years and over,1090.3
2015-04,Ontario,Full-time employment,Males,15 years and over,3146.4
2015-04,Ontario,Full-time employment,Males,15 to 64 years,3029.3
2015-04,Ontario,Full-time employment,Males,15 to 24 years,272.5
2015-04,Ontario,Full-time employment,Males,25 years and over,2873.9
2015-04,Ontario,Full-time employment,Males,25 to 54 years,2232.6
2015-04,Ontario,Full-time employment,Females,15 years and over,2441.3
2015-04,Ontario,Full-time employment,Females,15 to 64 years,2384.7
2015-04,Ontario,Full-time employment,Females,15 to 24 years,191.4
2015-04,Ontario,Full-time employment,Females,25 years and over,2249.9
2015-04,Ontario,Full-time employment,Females,25 to 54 years,1801
2015-04,Ontario,Unemployment rate,Both sexes,15 years and over,6.8
2015-04,Ontario,Unemployment rate,Both sexes,15 to 64 years,6.9
2015-04,Ontario,Unemployment rate,Both sexes,15 to 24 years,15.2
2015-04,Ontario,Unemployment rate,Both sexes,25 years and over,5.3
2015-04,Ontario,Unemployment rate,Both sexes,25 to 54 years,5.4
2015-04,Ontario,Unemployment rate,Both sexes,55 years and over,4.9
2015-04,Ontario,Unemployment rate,Males,15 years and over,6.9
2015-04,Ontario,Unemployment rate,Males,15 to 64 years,7.1
2015-04,Ontario,Unemployment rate,Males,15 to 24 years,16.8
2015-04,Ontario,Unemployment rate,Males,25 years and over,5.2
2015-04,Ontario,Unemployment rate,Males,25 to 54 years,5.4
2015-04,Ontario,Unemployment rate,Males,55 years and over,4.7
2015-04,Ontario,Unemployment rate,Females,15 years and over,6.6
2015-04,Ontario,Unemployment rate,Females,15 to 64 years,6.6
2015-04,Ontario,Unemployment rate,Females,15 to 24 years,13.6
2015-04,Ontario,Unemployment rate,Females,25 years and over,5.3
2015-04,Ontario,Unemployment rate,Females,25 to 54 years,5.3
2015-04,Ontario,Unemployment rate,Females,55 years and over,5.3
2015-04,Ontario,Participation rate,Both sexes,15 years and over,65.1
2015-04,Ontario,Participation rate,Both sexes,15 to 64 years,76.7
2015-04,Ontario,Participation rate,Both sexes,15 to 24 years,61.6
2015-04,Ontario,Participation rate,Both sexes,25 years and over,65.8
2015-04,Ontario,Participation rate,Both sexes,25 to 54 years,85.3
2015-04,Ontario,Participation rate,Both sexes,55 years and over,37.4
2015-04,Ontario,Participation rate,Males,15 years and over,69.7
2015-04,Ontario,Participation rate,Males,15 to 64 years,80.3
2015-04,Ontario,Participation rate,Males,15 to 24 years,60.9
2015-04,Ontario,Participation rate,Males,25 years and over,71.5
2015-04,Ontario,Participation rate,Males,25 to 54 years,90
2015-04,Ontario,Participation rate,Males,55 years and over,43.4
2015-04,Ontario,Participation rate,Females,15 years and over,60.8
2015-04,Ontario,Participation rate,Females,15 to 64 years,73.1
2015-04,Ontario,Participation rate,Females,15 to 24 years,62.5
2015-04,Ontario,Participation rate,Females,25 years and over,60.5
2015-04,Ontario,Participation rate,Females,25 to 54 years,80.7
2015-04,Ontario,Participation rate,Females,55 years and over,32.2
2015-04,Manitoba,Full-time employment,Both sexes,15 years and over,518.9
2015-04,Manitoba,Full-time employment,Both sexes,15 to 64 years,502.5
2015-04,Manitoba,Full-time employment,Both sexes,15 to 24 years,56
2015-04,Manitoba,Full-time employment,Both sexes,25 years and over,462.9
2015-04,Manitoba,Full-time employment,Both sexes,25 to 54 years,361.1
2015-04,Manitoba,Full-time employment,Both sexes,55 years and over,101.9
2015-04,Manitoba,Full-time employment,Males,15 years and over,298
2015-04,Manitoba,Full-time employment,Males,15 to 64 years,286.2
2015-04,Manitoba,Full-time employment,Males,15 to 24 years,33.8
2015-04,Manitoba,Full-time employment,Males,25 years and over,264.2
2015-04,Manitoba,Full-time employment,Males,25 to 54 years,202.8
2015-04,Manitoba,Full-time employment,Females,15 years and over,221
2015-04,Manitoba,Full-time employment,Females,15 to 64 years,216.2
2015-04,Manitoba,Full-time employment,Females,15 to 24 years,22.2
2015-04,Manitoba,Full-time employment,Females,25 years and over,198.8
2015-04,Manitoba,Full-time employment,Females,25 to 54 years,158.3
2015-04,Manitoba,Unemployment rate,Both sexes,15 years and over,5.5
2015-04,Manitoba,Unemployment rate,Both sexes,15 to 64 years,5.5
2015-04,Manitoba,Unemployment rate,Both sexes,15 to 24 years,12.2
2015-04,Manitoba,Unemployment rate,Both sexes,25 years and over,4.2
2015-04,Manitoba,Unemployment rate,Both sexes,25 to 54 years,4.4
2015-04,Manitoba,Unemployment rate,Both sexes,55 years and over,3.5
2015-04,Manitoba,Unemployment rate,Males,15 years and over,5.4
2015-04,Manitoba,Unemployment rate,Males,15 to 64 years,5.6
2015-04,Manitoba,Unemployment rate,Males,15 to 24 years,13.3
2015-04,Manitoba,Unemployment rate,Males,25 years and over,4
2015-04,Manitoba,Unemployment rate,Males,25 to 54 years,4.1
2015-04,Manitoba,Unemployment rate,Males,55 years and over,3.5
2015-04,Manitoba,Unemployment rate,Females,15 years and over,5.5
2015-04,Manitoba,Unemployment rate,Females,15 to 64 years,5.4
2015-04,Manitoba,Unemployment rate,Females,15 to 24 years,11
2015-04,Manitoba,Unemployment rate,Females,25 years and over,4.4
2015-04,Manitoba,Unemployment rate,Females,25 to 54 years,4.7
2015-04,Manitoba,Unemployment rate,Females,55 years and over,3.5
2015-04,Manitoba,Participation rate,Both sexes,15 years and over,68.6
2015-04,Manitoba,Participation rate,Both sexes,15 to 64 years,80.4
2015-04,Manitoba,Participation rate,Both sexes,15 to 24 years,67.1
2015-04,Manitoba,Participation rate,Both sexes,25 years and over,68.9
2015-04,Manitoba,Participation rate,Both sexes,25 to 54 years,88.1
2015-04,Manitoba,Participation rate,Both sexes,55 years and over,40.8
2015-04,Manitoba,Participation rate,Males,15 years and over,73.5
2015-04,Manitoba,Participation rate,Males,15 to 64 years,84.1
2015-04,Manitoba,Participation rate,Males,15 to 24 years,67.6
2015-04,Manitoba,Participation rate,Males,25 years and over,74.8
2015-04,Manitoba,Participation rate,Males,25 to 54 years,92.2
2015-04,Manitoba,Participation rate,Males,55 years and over,48.1
2015-04,Manitoba,Participation rate,Females,15 years and over,63.8
2015-04,Manitoba,Participation rate,Females,15 to 64 years,76.6
2015-04,Manitoba,Participation rate,Females,15 to 24 years,66.3
2015-04,Manitoba,Participation rate,Females,25 years and over,63.3
2015-04,Manitoba,Participation rate,Females,25 to 54 years,84
2015-04,Manitoba,Participation rate,Females,55 years and over,34
2015-04,Saskatchewan,Full-time employment,Both sexes,15 years and over,479.3
2015-04,Saskatchewan,Full-time employment,Both sexes,15 to 64 years,461.9
2015-04,Saskatchewan,Full-time employment,Both sexes,15 to 24 years,52.7
2015-04,Saskatchewan,Full-time employment,Both sexes,25 years and over,426.6
2015-04,Saskatchewan,Full-time employment,Both sexes,25 to 54 years,333.4
2015-04,Saskatchewan,Full-time employment,Both sexes,55 years and over,93.2
2015-04,Saskatchewan,Full-time employment,Males,15 years and over,283.1
2015-04,Saskatchewan,Full-time employment,Males,15 to 64 years,270.1
2015-04,Saskatchewan,Full-time employment,Males,15 to 24 years,32.6
2015-04,Saskatchewan,Full-time employment,Males,25 years and over,250.5
2015-04,Saskatchewan,Full-time employment,Males,25 to 54 years,192.6
2015-04,Saskatchewan,Full-time employment,Females,15 years and over,196.2
2015-04,Saskatchewan,Full-time employment,Females,15 to 64 years,191.7
2015-04,Saskatchewan,Full-time employment,Females,15 to 24 years,20.1
2015-04,Saskatchewan,Full-time employment,Females,25 years and over,176.1
2015-04,Saskatchewan,Full-time employment,Females,25 to 54 years,140.8
2015-04,Saskatchewan,Unemployment rate,Both sexes,15 years and over,4.4
2015-04,Saskatchewan,Unemployment rate,Both sexes,15 to 64 years,4.5
2015-04,Saskatchewan,Unemployment rate,Both sexes,15 to 24 years,9.7
2015-04,Saskatchewan,Unemployment rate,Both sexes,25 years and over,3.4
2015-04,Saskatchewan,Unemployment rate,Both sexes,25 to 54 years,3.6
2015-04,Saskatchewan,Unemployment rate,Both sexes,55 years and over,2.8
2015-04,Saskatchewan,Unemployment rate,Males,15 years and over,4.4
2015-04,Saskatchewan,Unemployment rate,Males,15 to 64 years,4.7
2015-04,Saskatchewan,Unemployment rate,Males,15 to 24 years,9.3
2015-04,Saskatchewan,Unemployment rate,Males,25 years and over,3.6
2015-04,Saskatchewan,Unemployment rate,Males,25 to 54 years,3.7
2015-04,Saskatchewan,Unemployment rate,Males,55 years and over,3.2
2015-04,Saskatchewan,Unemployment rate,Females,15 years and over,4.4
2015-04,Saskatchewan,Unemployment rate,Females,15 to 64 years,4.4
2015-04,Saskatchewan,Unemployment rate,Females,15 to 24 years,10.3
2015-04,Saskatchewan,Unemployment rate,Females,25 years and over,3.2
2015-04,Saskatchewan,Unemployment rate,Females,25 to 54 years,3.6
2015-04,Saskatchewan,Unemployment rate,Females,55 years and over,2.2
2015-04,Saskatchewan,Participation rate,Both sexes,15 years and over,70.2
2015-04,Saskatchewan,Participation rate,Both sexes,15 to 64 years,81.2
2015-04,Saskatchewan,Participation rate,Both sexes,15 to 24 years,68.8
2015-04,Saskatchewan,Participation rate,Both sexes,25 years and over,70.4
2015-04,Saskatchewan,Participation rate,Both sexes,25 to 54 years,89.2
2015-04,Saskatchewan,Participation rate,Both sexes,55 years and over,42.3
2015-04,Saskatchewan,Participation rate,Males,15 years and over,75.6
2015-04,Saskatchewan,Participation rate,Males,15 to 64 years,85.3
2015-04,Saskatchewan,Participation rate,Males,15 to 24 years,70.9
2015-04,Saskatchewan,Participation rate,Males,25 years and over,76.5
2015-04,Saskatchewan,Participation rate,Males,25 to 54 years,93.7
2015-04,Saskatchewan,Participation rate,Males,55 years and over,49.2
2015-04,Saskatchewan,Participation rate,Females,15 years and over,64.6
2015-04,Saskatchewan,Participation rate,Females,15 to 64 years,76.9
2015-04,Saskatchewan,Participation rate,Females,15 to 24 years,66.7
2015-04,Saskatchewan,Participation rate,Females,25 years and over,64.2
2015-04,Saskatchewan,Participation rate,Females,25 to 54 years,84.4
2015-04,Saskatchewan,Participation rate,Females,55 years and over,35.8
2015-04,Alberta,Full-time employment,Both sexes,15 years and over,1901.8
2015-04,Alberta,Full-time employment,Both sexes,15 to 64 years,1839
2015-04,Alberta,Full-time employment,Both sexes,15 to 24 years,199.1
2015-04,Alberta,Full-time employment,Both sexes,25 years and over,1702.7
2015-04,Alberta,Full-time employment,Both sexes,25 to 54 years,1363.2
2015-04,Alberta,Full-time employment,Both sexes,55 years and over,339.5
2015-04,Alberta,Full-time employment,Males,15 years and over,1147.1
2015-04,Alberta,Full-time employment,Males,15 to 64 years,1104
2015-04,Alberta,Full-time employment,Males,15 to 24 years,118.4
2015-04,Alberta,Full-time employment,Males,25 years and over,1028.7
2015-04,Alberta,Full-time employment,Males,25 to 54 years,817
2015-04,Alberta,Full-time employment,Females,15 years and over,754.7
2015-04,Alberta,Full-time employment,Females,15 to 64 years,735
2015-04,Alberta,Full-time employment,Females,15 to 24 years,80.7
2015-04,Alberta,Full-time employment,Females,25 years and over,674
2015-04,Alberta,Full-time employment,Females,25 to 54 years,546.2
2015-04,Alberta,Unemployment rate,Both sexes,15 years and over,5.7
2015-04,Alberta,Unemployment rate,Both sexes,15 to 64 years,5.9
2015-04,Alberta,Unemployment rate,Both sexes,15 to 24 years,10.7
2015-04,Alberta,Unemployment rate,Both sexes,25 years and over,4.8
2015-04,Alberta,Unemployment rate,Both sexes,25 to 54 years,4.9
2015-04,Alberta,Unemployment rate,Both sexes,55 years and over,4.5
2015-04,Alberta,Unemployment rate,Males,15 years and over,5.8
2015-04,Alberta,Unemployment rate,Males,15 to 64 years,6
2015-04,Alberta,Unemployment rate,Males,15 to 24 years,10.8
2015-04,Alberta,Unemployment rate,Males,25 years and over,5
2015-04,Alberta,Unemployment rate,Males,25 to 54 years,4.9
2015-04,Alberta,Unemployment rate,Males,55 years and over,5.4
2015-04,Alberta,Unemployment rate,Females,15 years and over,5.5
2015-04,Alberta,Unemployment rate,Females,15 to 64 years,5.7
2015-04,Alberta,Unemployment rate,Females,15 to 24 years,10.6
2015-04,Alberta,Unemployment rate,Females,25 years and over,4.6
2015-04,Alberta,Unemployment rate,Females,25 to 54 years,4.9
2015-04,Alberta,Unemployment rate,Females,55 years and over,3.4
2015-04,Alberta,Participation rate,Both sexes,15 years and over,73.4
2015-04,Alberta,Participation rate,Both sexes,15 to 64 years,81.8
2015-04,Alberta,Participation rate,Both sexes,15 to 24 years,69.8
2015-04,Alberta,Participation rate,Both sexes,25 years and over,74
2015-04,Alberta,Participation rate,Both sexes,25 to 54 years,87.4
2015-04,Alberta,Participation rate,Both sexes,55 years and over,47.7
2015-04,Alberta,Participation rate,Males,15 years and over,79.7
2015-04,Alberta,Participation rate,Males,15 to 64 years,87.4
2015-04,Alberta,Participation rate,Males,15 to 24 years,73
2015-04,Alberta,Participation rate,Males,25 years and over,81
2015-04,Alberta,Participation rate,Males,25 to 54 years,93.6
2015-04,Alberta,Participation rate,Males,55 years and over,55.1
2015-04,Alberta,Participation rate,Females,15 years and over,66.8
2015-04,Alberta,Participation rate,Females,15 to 64 years,75.8
2015-04,Alberta,Participation rate,Females,15 to 24 years,66.4
2015-04,Alberta,Participation rate,Females,25 years and over,66.8
2015-04,Alberta,Participation rate,Females,25 to 54 years,80.9
2015-04,Alberta,Participation rate,Females,55 years and over,40.6
2015-04,British Columbia,Full-time employment,Both sexes,15 years and over,1783.5
2015-04,British Columbia,Full-time employment,Both sexes,15 to 64 years,1735.2
2015-04,British Columbia,Full-time employment,Both sexes,15 to 24 years,172.5
2015-04,British Columbia,Full-time employment,Both sexes,25 years and over,1611
2015-04,British Columbia,Full-time employment,Both sexes,25 to 54 years,1266.6
2015-04,British Columbia,Full-time employment,Both sexes,55 years and over,344.4
2015-04,British Columbia,Full-time employment,Males,15 years and over,1025
2015-04,British Columbia,Full-time employment,Males,15 to 64 years,992.5
2015-04,British Columbia,Full-time employment,Males,15 to 24 years,97.4
2015-04,British Columbia,Full-time employment,Males,25 years and over,927.6
2015-04,British Columbia,Full-time employment,Males,25 to 54 years,725.2
2015-04,British Columbia,Full-time employment,Females,15 years and over,758.5
2015-04,British Columbia,Full-time employment,Females,15 to 64 years,742.7
2015-04,British Columbia,Full-time employment,Females,15 to 24 years,75.1
2015-04,British Columbia,Full-time employment,Females,25 years and over,683.4
2015-04,British Columbia,Full-time employment,Females,25 to 54 years,541.4
2015-04,British Columbia,Unemployment rate,Both sexes,15 years and over,6.4
2015-04,British Columbia,Unemployment rate,Both sexes,15 to 64 years,6.4
2015-04,British Columbia,Unemployment rate,Both sexes,15 to 24 years,11.8
2015-04,British Columbia,Unemployment rate,Both sexes,25 years and over,5.5
2015-04,British Columbia,Unemployment rate,Both sexes,25 to 54 years,5.3
2015-04,British Columbia,Unemployment rate,Both sexes,55 years and over,6.1
2015-04,British Columbia,Unemployment rate,Males,15 years and over,7.2
2015-04,British Columbia,Unemployment rate,Males,15 to 64 years,7.2
2015-04,British Columbia,Unemployment rate,Males,15 to 24 years,14.7
2015-04,British Columbia,Unemployment rate,Males,25 years and over,5.9
2015-04,British Columbia,Unemployment rate,Males,25 to 54 years,5.6
2015-04,British Columbia,Unemployment rate,Males,55 years and over,7.1
2015-04,British Columbia,Unemployment rate,Females,15 years and over,5.6
2015-04,British Columbia,Unemployment rate,Females,15 to 64 years,5.6
2015-04,British Columbia,Unemployment rate,Females,15 to 24 years,8.6
2015-04,British Columbia,Unemployment rate,Females,25 years and over,5
2015-04,British Columbia,Unemployment rate,Females,25 to 54 years,5
2015-04,British Columbia,Unemployment rate,Females,55 years and over,5.1
2015-04,British Columbia,Participation rate,Both sexes,15 years and over,62.5
2015-04,British Columbia,Participation rate,Both sexes,15 to 64 years,74.8
2015-04,British Columbia,Participation rate,Both sexes,15 to 24 years,60.8
2015-04,British Columbia,Participation rate,Both sexes,25 years and over,62.8
2015-04,British Columbia,Participation rate,Both sexes,25 to 54 years,83.9
2015-04,British Columbia,Participation rate,Both sexes,55 years and over,34.5
2015-04,British Columbia,Participation rate,Males,15 years and over,66.8
2015-04,British Columbia,Participation rate,Males,15 to 64 years,79.1
2015-04,British Columbia,Participation rate,Males,15 to 24 years,61.4
2015-04,British Columbia,Participation rate,Males,25 years and over,67.9
2015-04,British Columbia,Participation rate,Males,25 to 54 years,89.6
2015-04,British Columbia,Participation rate,Males,55 years and over,38.4
2015-04,British Columbia,Participation rate,Females,15 years and over,58.3
2015-04,British Columbia,Participation rate,Females,15 to 64 years,70.6
2015-04,British Columbia,Participation rate,Females,15 to 24 years,60.1
2015-04,British Columbia,Participation rate,Females,25 years and over,58
2015-04,British Columbia,Participation rate,Females,25 to 54 years,78.5
2015-04,British Columbia,Participation rate,Females,55 years and over,30.9
2015-05,Canada,Full-time employment,Both sexes,15 years and over,14525.9
2015-05,Canada,Full-time employment,Both sexes,15 to 64 years,14114.5
2015-05,Canada,Full-time employment,Both sexes,15 to 24 years,1293
2015-05,Canada,Full-time employment,Both sexes,25 years and over,13232.9
2015-05,Canada,Full-time employment,Both sexes,25 to 54 years,10418.1
2015-05,Canada,Full-time employment,Both sexes,55 years and over,2814.8
2015-05,Canada,Full-time employment,Males,15 years and over,8297.6
2015-05,Canada,Full-time employment,Males,15 to 64 years,8004.6
2015-05,Canada,Full-time employment,Males,15 to 24 years,755.6
2015-05,Canada,Full-time employment,Males,25 years and over,7542
2015-05,Canada,Full-time employment,Males,25 to 54 years,5842.3
2015-05,Canada,Full-time employment,Females,15 years and over,6228.3
2015-05,Canada,Full-time employment,Females,15 to 64 years,6109.9
2015-05,Canada,Full-time employment,Females,15 to 24 years,537.4
2015-05,Canada,Full-time employment,Females,25 years and over,5690.9
2015-05,Canada,Full-time employment,Females,25 to 54 years,4575.8
2015-05,Canada,Unemployment rate,Both sexes,15 years and over,6.8
2015-05,Canada,Unemployment rate,Both sexes,15 to 64 years,6.9
2015-05,Canada,Unemployment rate,Both sexes,15 to 24 years,13.1
2015-05,Canada,Unemployment rate,Both sexes,15 to 19 years,18.9
2015-05,Canada,Unemployment rate,Both sexes,20 to 24 years,10
2015-05,Canada,Unemployment rate,Both sexes,25 years and over,5.7
2015-05,Canada,Unemployment rate,Both sexes,25 to 54 years,5.7
2015-05,Canada,Unemployment rate,Both sexes,55 years and over,5.8
2015-05,Canada,Unemployment rate,Both sexes,55 to 64 years,6.1
2015-05,Canada,Unemployment rate,Males,15 years and over,7.4
2015-05,Canada,Unemployment rate,Males,15 to 64 years,7.6
2015-05,Canada,Unemployment rate,Males,15 to 24 years,14.6
2015-05,Canada,Unemployment rate,Males,15 to 19 years,20.4
2015-05,Canada,Unemployment rate,Males,20 to 24 years,11.5
2015-05,Canada,Unemployment rate,Males,25 years and over,6.2
2015-05,Canada,Unemployment rate,Males,25 to 54 years,6.1
2015-05,Canada,Unemployment rate,Males,55 years and over,6.5
2015-05,Canada,Unemployment rate,Males,55 to 64 years,6.7
2015-05,Canada,Unemployment rate,Females,15 years and over,6.2
2015-05,Canada,Unemployment rate,Females,15 to 64 years,6.3
2015-05,Canada,Unemployment rate,Females,15 to 24 years,11.6
2015-05,Canada,Unemployment rate,Females,15 to 19 years,17.3
2015-05,Canada,Unemployment rate,Females,20 to 24 years,8.3
2015-05,Canada,Unemployment rate,Females,25 years and over,5.2
2015-05,Canada,Unemployment rate,Females,25 to 54 years,5.3
2015-05,Canada,Unemployment rate,Females,55 years and over,5
2015-05,Canada,Unemployment rate,Females,55 to 64 years,5.3
2015-05,Canada,Participation rate,Both sexes,15 years and over,65.9
2015-05,Canada,Participation rate,Both sexes,15 to 64 years,78
2015-05,Canada,Participation rate,Both sexes,15 to 24 years,64.5
2015-05,Canada,Participation rate,Both sexes,15 to 19 years,50
2015-05,Canada,Participation rate,Both sexes,20 to 24 years,76.9
2015-05,Canada,Participation rate,Both sexes,25 years and over,66.1
2015-05,Canada,Participation rate,Both sexes,25 to 54 years,86.4
2015-05,Canada,Participation rate,Both sexes,55 years and over,37.2
2015-05,Canada,Participation rate,Both sexes,55 to 64 years,64.8
2015-05,Canada,Participation rate,Males,15 years and over,70.7
2015-05,Canada,Participation rate,Males,15 to 64 years,81.9
2015-05,Canada,Participation rate,Males,15 to 24 years,64.7
2015-05,Canada,Participation rate,Males,15 to 19 years,48.6
2015-05,Canada,Participation rate,Males,20 to 24 years,78.5
2015-05,Canada,Participation rate,Males,25 years and over,71.9
2015-05,Canada,Participation rate,Males,25 to 54 years,90.8
2015-05,Canada,Participation rate,Males,55 years and over,43.5
2015-05,Canada,Participation rate,Males,55 to 64 years,70.9
2015-05,Canada,Participation rate,Females,15 years and over,61.2
2015-05,Canada,Participation rate,Females,15 to 64 years,74.1
2015-05,Canada,Participation rate,Females,15 to 24 years,64.3
2015-05,Canada,Participation rate,Females,15 to 19 years,51.4
2015-05,Canada,Participation rate,Females,20 to 24 years,75.2
2015-05,Canada,Participation rate,Females,25 years and over,60.6
2015-05,Canada,Participation rate,Females,25 to 54 years,82
2015-05,Canada,Participation rate,Females,55 years and over,31.4
2015-05,Canada,Participation rate,Females,55 to 64 years,58.8
2015-05,Newfoundland and Labrador,Full-time employment,Both sexes,15 years and over,199.6
2015-05,Newfoundland and Labrador,Full-time employment,Both sexes,15 to 64 years,194.3
2015-05,Newfoundland and Labrador,Full-time employment,Both sexes,15 to 24 years,18.4
2015-05,Newfoundland and Labrador,Full-time employment,Both sexes,25 years and over,181.3
2015-05,Newfoundland and Labrador,Full-time employment,Both sexes,25 to 54 years,142.5
2015-05,Newfoundland and Labrador,Full-time employment,Both sexes,55 years and over,38.8
2015-05,Newfoundland and Labrador,Full-time employment,Males,15 years and over,106.1
2015-05,Newfoundland and Labrador,Full-time employment,Males,15 to 64 years,102.4
2015-05,Newfoundland and Labrador,Full-time employment,Males,15 to 24 years,9.8
2015-05,Newfoundland and Labrador,Full-time employment,Males,25 years and over,96.4
2015-05,Newfoundland and Labrador,Full-time employment,Males,25 to 54 years,73.8
2015-05,Newfoundland and Labrador,Full-time employment,Females,15 years and over,93.5
2015-05,Newfoundland and Labrador,Full-time employment,Females,15 to 64 years,91.9
2015-05,Newfoundland and Labrador,Full-time employment,Females,15 to 24 years,8.6
2015-05,Newfoundland and Labrador,Full-time employment,Females,25 years and over,84.9
2015-05,Newfoundland and Labrador,Full-time employment,Females,25 to 54 years,68.7
2015-05,Newfoundland and Labrador,Unemployment rate,Both sexes,15 years and over,13.7
2015-05,Newfoundland and Labrador,Unemployment rate,Both sexes,15 to 64 years,14
2015-05,Newfoundland and Labrador,Unemployment rate,Both sexes,15 to 24 years,17.2
2015-05,Newfoundland and Labrador,Unemployment rate,Both sexes,25 years and over,13.2
2015-05,Newfoundland and Labrador,Unemployment rate,Both sexes,25 to 54 years,11.7
2015-05,Newfoundland and Labrador,Unemployment rate,Both sexes,55 years and over,17.7
2015-05,Newfoundland and Labrador,Unemployment rate,Males,15 years and over,17.5
2015-05,Newfoundland and Labrador,Unemployment rate,Males,15 to 64 years,17.9
2015-05,Newfoundland and Labrador,Unemployment rate,Males,15 to 24 years,25
2015-05,Newfoundland and Labrador,Unemployment rate,Males,25 years and over,16.4
2015-05,Newfoundland and Labrador,Unemployment rate,Males,25 to 54 years,14.3
2015-05,Newfoundland and Labrador,Unemployment rate,Males,55 years and over,22.3
2015-05,Newfoundland and Labrador,Unemployment rate,Females,15 years and over,9.8
2015-05,Newfoundland and Labrador,Unemployment rate,Females,15 to 64 years,9.9
2015-05,Newfoundland and Labrador,Unemployment rate,Females,15 to 24 years,10.4
2015-05,Newfoundland and Labrador,Unemployment rate,Females,25 years and over,9.7
2015-05,Newfoundland and Labrador,Unemployment rate,Females,25 to 54 years,9
2015-05,Newfoundland and Labrador,Unemployment rate,Females,55 years and over,12.2
2015-05,Newfoundland and Labrador,Participation rate,Both sexes,15 years and over,60.8
2015-05,Newfoundland and Labrador,Participation rate,Both sexes,15 to 64 years,74.6
2015-05,Newfoundland and Labrador,Participation rate,Both sexes,15 to 24 years,66
2015-05,Newfoundland and Labrador,Participation rate,Both sexes,25 years and over,60.1
2015-05,Newfoundland and Labrador,Participation rate,Both sexes,25 to 54 years,82.9
2015-05,Newfoundland and Labrador,Participation rate,Both sexes,55 years and over,32.6
2015-05,Newfoundland and Labrador,Participation rate,Males,15 years and over,63.7
